instance,atomic_weld_id,parent_weld_id,parent_original_id,half_region,segment_index,segment_count
w30,inst0000|group=804-FR313A|row=0000|half=lower|part=1of1|seg=1of1,inst0000|group=804-FR313A|row=0000|half=lower|part=1of1,inst0000|group=804-FR313A|row=0000,lower,1,1
w30,inst0001|group=804-FR313A|row=0000|half=lower|part=1of1|seg=1of1,inst0001|group=804-FR313A|row=0000|half=lower|part=1of1,inst0001|group=804-FR313A|row=0000,lower,1,1
w30,inst0002|group=143-FR65A|row=0000|half=upper|part=1of1|seg=1of1,inst0002|group=143-FR65A|row=0000|half=upper|part=1of1,inst0002|group=143-FR65A|row=0000,upper,1,1
w30,inst0003|group=804-FR315A|row=0000|half=upper|part=1of1|seg=1of1,inst0003|group=804-FR315A|row=0000|half=upper|part=1of1,inst0003|group=804-FR315A|row=0000,upper,1,1
w30,inst0004|group=642-BL14A.dxf|row=0000|half=upper|part=1of1|seg=1of1,inst0004|group=642-BL14A.dxf|row=0000|half=upper|part=1of1,inst0004|group=642-BL14A.dxf|row=0000,upper,1,1
w30,inst0005|group=143-FR69B.dxf|row=0000|half=lower|part=1of1|seg=1of1,inst0005|group=143-FR69B.dxf|row=0000|half=lower|part=1of1,inst0005|group=143-FR69B.dxf|row=0000,lower,1,1
w30,inst0005|group=143-FR69B.dxf|row=0001|half=lower|part=1of1|seg=1of1,inst0005|group=143-FR69B.dxf|row=0001|half=lower|part=1of1,inst0005|group=143-FR69B.dxf|row=0001,lower,1,1
w30,inst0005|group=143-FR69B.dxf|row=0002|half=lower|part=1of1|seg=1of1,inst0005|group=143-FR69B.dxf|row=0002|half=lower|part=1of1,inst0005|group=143-FR69B.dxf|row=0002,lower,1,1
w30,inst0005|group=143-FR69B.dxf|row=0003|half=lower|part=1of1|seg=1of1,inst0005|group=143-FR69B.dxf|row=0003|half=lower|part=1of1,inst0005|group=143-FR69B.dxf|row=0003,lower,1,1
w30,inst0006|group=312-GR2C|row=0000|half=lower|part=1of1|seg=1of1,inst0006|group=312-GR2C|row=0000|half=lower|part=1of1,inst0006|group=312-GR2C|row=0000,lower,1,1
w30,inst0007|group=143-GR14A|row=0000|half=upper|part=1of1|seg=1of1,inst0007|group=143-GR14A|row=0000|half=upper|part=1of1,inst0007|group=143-GR14A|row=0000,upper,1,1
w30,inst0008|group=145-LB20A|row=0000|half=upper|part=1of1|seg=1of1,inst0008|group=145-LB20A|row=0000|half=upper|part=1of1,inst0008|group=145-LB20A|row=0000,upper,1,1
w30,inst0009|group=642-BL14A|row=0000|half=upper|part=1of1|seg=1of1,inst0009|group=642-BL14A|row=0000|half=upper|part=1of1,inst0009|group=642-BL14A|row=0000,upper,1,1
w30,inst0010|group=804-FR314A|row=0000|half=lower|part=1of2|seg=1of1,inst0010|group=804-FR314A|row=0000|half=lower|part=1of2,inst0010|group=804-FR314A|row=0000,lower,1,1
w30,inst0010|group=804-FR314A|row=0000|half=upper|part=2of2|seg=1of1,inst0010|group=804-FR314A|row=0000|half=upper|part=2of2,inst0010|group=804-FR314A|row=0000,upper,1,1
w30,inst0011|group=804-FR313A.dxf|row=0000|half=lower|part=1of1|seg=1of1,inst0011|group=804-FR313A.dxf|row=0000|half=lower|part=1of1,inst0011|group=804-FR313A.dxf|row=0000,lower,1,1
w30,inst0012|group=804-FR315A.dxf|row=0000|half=upper|part=1of1|seg=1of1,inst0012|group=804-FR315A.dxf|row=0000|half=upper|part=1of1,inst0012|group=804-FR315A.dxf|row=0000,upper,1,1
w30,inst0012|group=804-FR315A.dxf|row=0001|half=upper|part=1of1|seg=1of1,inst0012|group=804-FR315A.dxf|row=0001|half=upper|part=1of1,inst0012|group=804-FR315A.dxf|row=0001,upper,1,1
w30,inst0012|group=804-FR315A.dxf|row=0002|half=upper|part=1of1|seg=1of1,inst0012|group=804-FR315A.dxf|row=0002|half=upper|part=1of1,inst0012|group=804-FR315A.dxf|row=0002,upper,1,1
