target_weld_count,instance_seed,exact_target_found,requested_group_count,placed_group_count,actual_weld_count,count_delta,instance_hash,finite_coordinates,all_welds_in_platform,bbox_area_ratio,x_coverage_ratio,y_coverage_ratio,midpoint_dispersion,grid_occupancy_ratio,quadrant_0_length,quadrant_1_length,quadrant_2_length,quadrant_3_length,quadrant_length_mean,quadrant_length_std,quadrant_length_cv,upper_lower_length_imbalance,left_right_length_imbalance,cross_y6_count,cross_x10_count,cross_both_count,total_original_weld_length,weld_length_mean,weld_length_std,weld_length_min,weld_length_max,no_short_welds,hard_valid,duplicate_instance_hash,roundtrip_hash_match,regeneration_hash_match,coverage_rank_score,balance_rank_score,boundary_interaction_score,geometry_score,selected_independent_best,recommended_common_seed,selected_for_formal_experiments
30,41,True,25,25,30,0,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,True,True,0.9214125359829193,0.9662452358861501,0.9536011167370834,0.2672330727924663,0.8125,10.370639571988907,13.78539373592851,6.364613034662437,17.241775430052673,11.940605443158132,4.033055022291783,0.33775967571248156,0.011507893084208107,0.2992293110128471,1,2,0,47.762421772632536,1.5920807257544176,1.028725132378334,0.5050000000000008,4.2134687500000005,True,True,False,True,True,1.0,0.75,1.0,0.9124999999999999,True,True,True
45,41,True,36,36,45,0,3b50059c27eb07cf6d40c8c36c0507257890c74fc956278aeedb8318f04e3c38,True,True,0.9350464591743827,0.9662452358861501,0.9677113267387499,0.25451499541831346,1.0,10.875639571988907,18.612074417740125,20.083733270100343,21.008642617552674,17.645022469345513,4.000655732285064,0.2267299879745325,0.16441834968026575,0.12271653674925599,3,4,0,70.58008987738206,1.5684464417196011,0.929561007418643,0.5050000000000008,4.2134687500000005,True,True,False,True,True,0.78,0.4666666666666666,0.44444444444444453,0.6032222222222222,,True,True
60,41,True,49,49,60,0,e7b7409b555e581a0ceea770b7e2c511bacdced8f3172021729319bd352f76d2,True,True,0.9485797421664627,0.9802300706381499,0.9677113267387499,0.2540449913063155,1.0,13.53308165695045,20.189508011490126,40.04814179871216,27.466693863083503,25.30935633255906,9.833353882374368,0.38852643082527993,0.33379203276974745,0.05852600025891192,3,6,0,101.23742533023626,1.687290422170604,1.665932463798332,0.5038731689459999,12.5,True,True,False,True,True,0.95,0.5833333333333334,0.5000000000000001,0.7316666666666667,True,True,True
30,42,True,8,8,30,0,6a9fc20efd2f8dcdadf9cd2e57b963cfdab2e8b46ec5755b47769ff34d9082b4,True,True,0.778374302920733,0.9303967752842001,0.8366046869444167,0.25133399339420115,0.6875,13.099308593750003,18.268567597439873,12.24869463826177,13.864,14.37014270736291,2.3221465456557375,0.16159523206863674,0.09142535429094023,0.11803230669991632,0,2,0,57.48057082945167,1.9160190276483882,2.881683909749954,0.5049999999999999,12.500000000000002,True,True,False,True,True,0.3,0.8333333333333334,0.6666666666666666,0.56,,False,
45,42,False,12,12,50,5,4dd26904673295016df02aeb76067c9863cefaad32ca48e3d5f4d260ce0ea0fb,True,True,0.8258346665350277,0.9577906217372,0.8622288084604167,0.3006448003601751,0.8125,13.099308593750003,29.366416763856282,12.24869463826177,21.102593565925183,18.954253390448308,6.933134362889497,0.3657825090796422,0.1202162512770406,0.331337333371688,1,2,0,75.8170135617933,1.516340271235865,2.3049202049316317,0.5038731689449998,12.500000000000002,True,False,False,False,False,,,,,,False,
60,42,False,14,14,62,2,6c08c1b4a84b98406ee41f6cbc83750542300f418e7487e78cb899dd53187fdd,True,True,0.8258346665350277,0.9577906217372,0.8622288084604167,0.28771463452195456,0.8125,17.312777343750003,37.23498436129518,12.24869463826177,21.102593565925183,21.974762477308033,9.353683118880888,0.4256557097506675,0.24114564972825644,0.3273767574839985,2,2,0,87.8990499092322,1.4177266114392277,2.122785863751464,0.5038731689449998,12.500000000000002,True,False,False,False,False,,,,,,False,
30,43,False,13,13,29,-1,2977ede3732d0f3c3e363ed4f7c735db2b69452e247c2b2cf28a176ba78f8528,True,True,0.827774553721592,0.86414445929355,0.9579122388845832,0.23260493511273042,0.75,9.223593565926432,19.281979880289924,21.29562568527835,5.6675265747695045,13.867181426566052,6.58215531394004,0.47465704179295415,0.027807042013844468,0.10041176762631762,4,1,0,55.468725706264216,1.912714679526352,2.160414423168033,0.5049999999999999,12.5,True,False,False,False,False,,,,,,False,
45,43,True,25,25,45,0,fcbf22496b8d78e12bec049a99fba6628e49b87b2f78afbd8ff496614e6b7283,True,True,0.8426808932275694,0.8797057381883,0.9579122388845832,0.26026609140275103,0.8125,9.223593565926432,24.278089227870133,24.3672384912033,14.938762858572808,18.201921035893168,6.445725806108192,0.3541233803507653,0.0797212358043659,0.07727233870286293,6,1,0,72.80768414357267,1.617948536523837,1.805732328017679,0.5038731689449989,12.5,True,True,False,True,True,0.3,0.6,0.44444444444444453,0.4338888888888889,,False,
60,43,True,36,36,60,0,b605f3994f60abb26f1f01d9d1128c1ab604673ba7556c9d25a9fe5bb982cdc6,True,True,0.8426808932275694,0.8797057381883,0.9579122388845832,0.2475818365277573,0.875,11.761927226066634,29.913008876039882,29.04254927302127,16.24169254607281,21.739794480300148,7.904407329831858,0.36359163086820157,0.0415057479068879,0.061525707244760065,6,2,0,86.95917792120058,1.44931963202001,1.603489739102419,0.5038731689449989,12.5,True,True,False,True,True,0.275,0.8333333333333334,0.6666666666666667,0.5487500000000001,,False,
30,44,False,13,13,33,3,82b2e6554c4b668c36eeef9e3a6312e73b6450385775690e5558dcf8cf28c8e5,True,True,0.9421840948041454,0.9556160117630499,0.9859442319995001,0.30618404381062336,0.6875,1.2453279418940006,20.520507701091866,12.205172576726973,11.096468750000001,11.26686924242821,6.836859005364743,0.6068108946910329,0.034077915761142545,0.4030950289202897,2,1,0,45.06747696971285,1.3656811202943284,0.9956217397722152,0.5053279418940004,4.21346875,True,False,False,False,False,,,,,,False,
45,44,False,16,16,43,-2,b821529d44fbe08bc9705315c10ca6090b77ccf80348b2cdcf812a4153dc1ac7,True,True,0.9421840948041454,0.9556160117630499,0.9859442319995001,0.31424545955580896,0.75,31.713347907719267,20.520507701091866,12.710172576726974,11.720468750000002,19.166124233884528,8.006002027880998,0.4177162753503851,0.3626608846786272,0.15890724546980117,2,1,0,76.66449693553811,1.7828952775706537,1.5312228074507646,0.5050000000000008,5.254,True,False,False,False,False,,,,,,False,
60,44,False,27,27,61,1,d6048870e5498b56ad617c4b094aa12f8fde18eb9a2ffca45751c251d138e968,True,True,0.969536824371256,0.9833586859218499,0.9859442319995001,0.2961631490561298,0.8125,41.342358746742704,23.166507701091867,23.20830434976635,22.387502358141653,27.526168288935644,7.983476619760946,0.29003225352545586,0.17177345155163518,0.1725326681675432,4,4,0,110.10467315574257,1.804994641897419,1.4015982095308825,0.5049999999999999,5.254,True,False,False,False,False,,,,,,False,
30,45,True,19,19,30,0,49dff2f47fb59e3dd11d1373d9d0da5f7a0038541bbfa858c0a2653e0035f6e4,True,True,0.8833467671882502,0.9430947650402501,0.9366468778464166,0.2548359878692522,0.75,16.96620918714032,8.150937500000001,16.1103343835357,4.102506509902973,11.332496895144748,5.407437618918462,0.4771620648963252,0.10819120091272266,0.45936698137756415,2,1,0,45.329987580579,1.5109995860192997,0.7420435738171167,0.503873168945,2.9591406250000007,True,True,False,True,True,0.675,0.3333333333333333,1.0,0.6204166666666666,,False,
45,45,True,28,28,45,0,d90616eb356e340fd658c6dc4c64ddb752b2c844807c3679d6dd71f249f98282,True,True,0.886138666189757,0.9430947650402501,0.9396072367679166,0.27606664624758037,1.0,19.018291129767146,11.855447530075818,16.8503343835357,16.822175956801356,16.136562250045003,2.6273485396498844,0.16281959558285453,0.04336071768455956,0.1114085192836785,3,1,0,64.54624900018004,1.4343610888928895,0.6872529939451696,0.503873168945,2.9591406250000007,True,True,False,True,True,0.62,0.7333333333333334,0.8888888888888888,0.7134444444444445,True,False,
60,45,False,38,38,59,-1,3af9e69da1de7e725f8e4b8f1ee1d401858717b20f836452605db487bc54bdc9,True,True,0.9144314371320678,0.9505490639688501,0.9620034060251667,0.2893739513123508,1.0,33.826724723517145,13.104833574587586,19.617607461302676,24.17956981381362,22.682183893305258,7.542549680748277,0.33253189887833035,0.034546728808524926,0.17811257584844245,5,2,0,90.72873557322104,1.5377751792071361,0.7852534359905512,0.503873168945,3.1295,True,False,False,False,False,,,,,,False,
30,46,False,7,7,28,-2,1f73fb9b87b365c067f734b1a9753b3ab75efc629f9137f36f7931a82c4be300,True,True,0.8277023440372933,0.9371311419096499,0.883230005942,0.25971230100304266,0.5625,10.203004715197618,19.263600693214332,3.0120000000000005,6.261433593750002,9.685009750540488,6.088260343945475,0.6286271775416343,0.5212481023453549,0.3177598652154103,0,0,0,38.74003900216194,1.3835728215057839,1.0481400465004092,0.5049999999999999,5.3750301062930665,True,False,False,False,False,,,,,,False,
45,46,False,11,11,46,1,c558790a260405b0e5b7ae45c6aa4a70ecc00826ceedf630402ee41092d21859,True,True,0.8277023440372933,0.9371311419096499,0.883230005942,0.25443784024432053,0.8125,16.503006731609762,20.832166274240077,18.31943359375,6.261433593750002,15.47901004833746,5.5393269536959915,0.3578605438201746,0.20599356448702166,0.1248277576090825,0,11,0,61.91604019334985,1.3460008737684748,1.0315850758143872,0.5049999999999999,5.3750301062930665,True,False,False,False,False,,,,,,False,
