config_id,population_size,elite_fraction,local_search_elite_fraction,candidate_list_size,seed,fitness,runtime_s,hga_runtime_s,primary_evaluations,cross_validation_passed
1,40,0.15,0.05,8,101,1.0046088937212798,0.10790589998941869,0.273882900015451,2000,True
1,40,0.15,0.05,8,102,1.0006769800557351,0.09505110001191497,0.26527690002694726,2000,True
1,40,0.15,0.05,8,103,1.0062973140303555,0.10483500000555068,0.2432412999914959,2000,True
2,40,0.15,0.1,12,101,0.9939540295395213,0.10065300005953759,0.273882900015451,2000,True
2,40,0.15,0.1,12,102,0.9987231958947561,0.14190639997832477,0.26527690002694726,2000,True
2,40,0.15,0.1,12,103,1.0084975089420047,0.08157400006894022,0.2432412999914959,2000,True
3,40,0.2,0.05,12,101,1.0015089974087674,0.11182069999631494,0.273882900015451,2000,True
3,40,0.2,0.05,12,102,1.0016366878516996,0.10508989996742457,0.26527690002694726,2000,True
3,40,0.2,0.05,12,103,0.9981037763737923,0.11440349998883903,0.2432412999914959,2000,True
4,40,0.2,0.1,8,101,1.0049679527247184,0.08813039993401617,0.273882900015451,2000,True
4,40,0.2,0.1,8,102,1.0069105508184728,0.09093919990118593,0.26527690002694726,2000,True
4,40,0.2,0.1,8,103,1.0026474626457227,0.09226780000608414,0.2432412999914959,2000,True
5,60,0.15,0.05,12,101,1.0024941100374343,0.09779990010429174,0.273882900015451,2000,True
5,60,0.15,0.05,12,102,1.0016033151495913,0.10822599998209625,0.26527690002694726,2000,True
5,60,0.15,0.05,12,103,0.9982603398669598,0.14724890002980828,0.2432412999914959,2000,True
6,60,0.15,0.1,8,101,1.001476870797383,0.12265929998829961,0.273882900015451,2000,True
6,60,0.15,0.1,8,102,1.0011122885360138,0.1078288999851793,0.26527690002694726,2000,True
6,60,0.15,0.1,8,103,0.9999487601760355,0.10147720004897565,0.2432412999914959,2000,True
7,60,0.2,0.05,8,101,1.0049679527247184,0.10307359998114407,0.273882900015451,2000,True
7,60,0.2,0.05,8,102,0.9993465315669279,0.13515299989376217,0.26527690002694726,2000,True
7,60,0.2,0.05,8,103,1.002227901878377,0.10920309997163713,0.2432412999914959,2000,True
8,60,0.2,0.1,12,101,1.0025344609644624,0.10058530000969768,0.273882900015451,2000,True
8,60,0.2,0.1,12,102,1.006185955922211,0.102991700056009,0.26527690002694726,2000,True
8,60,0.2,0.1,12,103,0.9986792184458461,0.11026300000958145,0.2432412999914959,2000,True
