phase,instance,solver_id,seed,primary_evaluations,algorithm_time_s,rss_mb,route_evaluation_requests,direction_dp_calls,route_evaluations_per_primary,direction_dp_per_primary,phenotype_cache_hits
development_equal_primary,w30,hga_atomic,104,5000,0.4048138000071049,89.578125,4112,379,0.8224,0.0758,3972
development_equal_primary,w30,eprk,104,5000,0.22159510001074523,90.44140625,2532,568,0.5064,0.1136,4367
development_equal_primary,w30,hga_atomic,105,5000,0.3366208999650553,90.4609375,4416,321,0.8832,0.0642,3896
development_equal_primary,w30,eprk,105,5000,0.18982849991880357,90.7109375,2584,570,0.5168,0.114,4354
development_equal_primary,w45,hga_atomic,104,5000,0.590712699922733,91.67578125,4812,526,0.9624,0.1052,3797
development_equal_primary,w45,eprk,104,5000,0.290071600000374,93.3828125,3060,889,0.612,0.1778,4235
development_equal_primary,w45,hga_atomic,105,5000,0.5820695000002161,92.41015625,4232,402,0.8464,0.0804,3942
development_equal_primary,w45,eprk,105,5000,0.27983100002165884,92.8515625,2368,853,0.4736,0.1706,4408
development_equal_primary,w60,hga_atomic,104,5000,1.1593993999995291,93.54296875,5276,353,1.0552,0.0706,3681
development_equal_primary,w60,eprk,104,5000,0.44184899993706495,97.5703125,2620,1117,0.524,0.2234,4345
development_equal_primary,w60,hga_atomic,105,5000,1.2683460999978706,97.78515625,5576,411,1.1152,0.0822,3606
development_equal_primary,w60,eprk,105,5000,0.47390700003597885,97.91015625,2488,1096,0.4976,0.2192,4378
