acceptance_sequence_hash,algorithm,algorithm_time_s,alns_time_s,best_fitness_after_generation_5,candidate_sequence_hash,collision_audit,direction_dp_count,evaluations_per_second,expected_primary_evaluations,final_fitness_after_generation_20,final_population_diversity,final_population_diversity_status,fitness,formal,generation_of_final_best,generations_completed,index,initial_best_fitness,inner_rng_final_state_hash,instance,instance_hash,instance_path,load_imbalance,makespan,normalization_hash,normalization_hash_status,normalization_mode,number_of_accepted_trials,number_of_improving_generations,objective_evaluation_count,outer_rng_final_state_hash,parallel,partition_cache_hits,partition_cache_misses,peak_rss_bytes,postprocess_time_s,primary_evaluation_of_final_best,process_startup_time_measurement,process_startup_time_s,protocol_hash,protocol_version,remaining_improvement_after_generation_5,result_reconstruction_status,returncode,robot_task_counts,route_evaluation_count,run_directory,run_id,scientific_model_hash,scientific_model_version,seconds_per_primary_evaluation,seed,solver_source_hash,solver_wall_clock_time_s,split_weld_count,status,stop_reason,subweld_count,time_to_best_s,total_idle_distance,total_run_time_s,unassigned_count,unique_partition_count,vnd_time_s,x_low,x_up
dc336558d8f7117eaa4c865037e05ef7a461669ee6efbaf0ea8400d8b39bc5a1,ABMA1,20.998293300159276,16.098757898667827,1.010605934542888,2efa2fe60e56095ae489e78a0422e693fc3f5c42b1f74bf0900aab12081a967f,False,243826,3.428850096091089,72,,,not_exposed_by_authoritative_solver,1.010605934542888,False,1,5,1,1.0825546112723927,1b074b36f949b22177b7d9dd2172d3178be94068c5c0182d51bd624f52c05240,w30,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,data/instances/selected/instance_w30.xlsx,144.15812496997773,1269.308863646738,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,protocol_declared_hash; strict protocol validator currently reports frozen-float drift,ideal_baseline_range_v1,29,1,72,71c534697709f6bb24f781cc8eae3acd3244080f9e81d5bac83680f9c8b697c9,False,0,72,,1.1384242998901755,14,cold_process_wall_minus_solver_algorithm_time; includes imports and serialization,3.0774691998958588,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,2.6.0,,success,0,"[12, 8, 8, 6]",443938,experiments/abma_outer5_v1/raw/w30/ABMA1/seed_78,w30__ABMA1__seed_78,0f950019e8c081f4cf0d745eabed2b5c6d0ea477e588356f1e592cb7253f3de2,dynamic_split_parent_aware_v1,0.29164296250221217,78,7f6f09a030543f6e4e14d2bd837791c90896da3bb1e395f409c33d6eaef20df9,24.075762500055134,4,success,generation_limit,34,5.196732900105417,71.15430242870491,25.21418679994531,0,72,3.786551602417603,13.922995079560646,10.874575924423
d7d758431216ac7ae0ded2a5e65377f67501ef7ffdf7b43ea5cd125060b02c56,ABMA20,45.400049899937585,31.269149400293827,1.010605934542888,ec5c17583cbde7028ff99ab0f3b630200f67a8f3e15f8be2ab5361b8a0cff0f4,False,653160,5.550654692129456,252,0.8699137546281621,,not_exposed_by_authoritative_solver,0.8699137546281621,False,19,20,2,1.0825546112723927,27d5ca07b207a278c9294870057cc2330f8c20266a6739a4fa2af6dd082b453e,w30,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,data/instances/selected/instance_w30.xlsx,100.73300233801228,1247.981379390075,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,protocol_declared_hash; strict protocol validator currently reports frozen-float drift,ideal_baseline_range_v1,90,7,252,f0cc08bd5e071043cb970d5bc74f2db603aef70a31047fcaafbd8ef1d64c62ae,False,0,252,,0.7102645002305508,234,cold_process_wall_minus_solver_algorithm_time; includes imports and serialization,1.9969363000709563,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,2.6.0,0.16173118216168866,success,0,"[13, 8, 8, 6]",1399126,experiments/abma_outer5_v1/raw/w30/ABMA20/seed_78,w30__ABMA20__seed_78,0f950019e8c081f4cf0d745eabed2b5c6d0ea477e588356f1e592cb7253f3de2,dynamic_split_parent_aware_v1,0.1801589281743555,78,7f6f09a030543f6e4e14d2bd837791c90896da3bb1e395f409c33d6eaef20df9,47.39698620000854,5,success,generation_limit,35,42.26255420013331,76.89076798539294,48.10725070023909,0,252,11.616423201048747,13.827066255672877,11.023837822926847
,HGA-budget72,0.09860889986157417,,,,False,231,730.1572180713163,72,,1.0,HGA final_diversity_rank; ABMA source does not expose an equivalent,3.7167385932436883,False,0,0,3,3.7167385932436883,,w30,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,data/instances/selected/instance_w30.xlsx,1008.1767668988668,1636.3616602950501,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,protocol_declared_hash; strict protocol validator currently reports frozen-float drift,ideal_baseline_range_v1,,0,72,,False,0,0,,0.28963030013255775,1,cold_process_wall_minus_solver_algorithm_time; includes imports and serialization,1.6300527001731098,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,2.6.0,,success,0,"[11, 10, 4, 8]",451,experiments/abma_outer5_v1/raw/w30/HGA-budget72/seed_78,w30__HGA-budget72__seed_78,0f950019e8c081f4cf0d745eabed2b5c6d0ea477e588356f1e592cb7253f3de2,dynamic_split_parent_aware_v1,0.0013695680536329746,78,db2557a2c96606f0b7f933808f9efb6b26468240073405697aa54304be26f2e7,1.728661600034684,3,success,objective_budget,33,0.0536440999712795,59.197398685276966,2.0182919001672417,0,121,,10.0,10.0
,HGA-budget252,0.1688902999740094,,,,False,266,1492.0927965595442,252,,1.0,HGA final_diversity_rank; ABMA source does not expose an equivalent,3.7167385932436883,False,0,0,4,3.7167385932436883,,w30,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,data/instances/selected/instance_w30.xlsx,1008.1767668988668,1636.3616602950501,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,protocol_declared_hash; strict protocol validator currently reports frozen-float drift,ideal_baseline_range_v1,,0,252,,False,0,0,,0.03592739999294281,1,cold_process_wall_minus_solver_algorithm_time; includes imports and serialization,1.627174299908802,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,2.6.0,,success,0,"[11, 10, 4, 8]",1171,experiments/abma_outer5_v1/raw/w30/HGA-budget252/seed_78,w30__HGA-budget252__seed_78,0f950019e8c081f4cf0d745eabed2b5c6d0ea477e588356f1e592cb7253f3de2,dynamic_split_parent_aware_v1,0.0006701996030714658,78,db2557a2c96606f0b7f933808f9efb6b26468240073405697aa54304be26f2e7,1.7960645998828113,3,success,objective_budget,33,0.04925889987498522,59.197398685276966,1.8319919998757541,0,121,,10.0,10.0
2d3031fda50b56d1cfb0b1958f33e94cd39ac45236a13c704c535472f383037a,ABMA20,47.70488129998557,34.710086901672184,1.0928454210031089,ca8fa5cca54e16246fc425c424e408d8fd4160bf57a323fa23ccd2dc56c3ba03,False,728367,5.282478294314008,252,0.7886881476711166,,not_exposed_by_authoritative_solver,0.7886881476711166,False,18,20,5,1.0928454210031089,4fe2a36147c586c44e5e1c299576e586a15c523e8f5535322673b6e35d171d30,w30,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,data/instances/selected/instance_w30.xlsx,7.347022067290482,1247.9271397889602,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,protocol_declared_hash; strict protocol validator currently reports frozen-float drift,ideal_baseline_range_v1,92,5,252,c8f442251ad92f6bffa5bd4fe2e687e3974516c1c91cc5506c45a36810d78960,False,0,252,,0.06966419983655214,223,cold_process_wall_minus_solver_algorithm_time; includes imports and serialization,1.647281700046733,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,2.6.0,0.38564960590586433,success,0,"[13, 8, 8, 7]",1419800,experiments/abma_outer5_v1/raw/w30/ABMA20/seed_79,w30__ABMA20__seed_79,0f950019e8c081f4cf0d745eabed2b5c6d0ea477e588356f1e592cb7253f3de2,dynamic_split_parent_aware_v1,0.18930508452375228,79,7f6f09a030543f6e4e14d2bd837791c90896da3bb1e395f409c33d6eaef20df9,49.352163000032306,5,success,generation_limit,36,42.42668670020066,103.25323498972944,49.42182719986886,0,252,10.345927498536184,13.12650086903396,10.996837112255484
6d36e0b3bfea4992138bd8760e25108d7fe1e2b8a999c921ed1f444088e6677b,ABMA1,23.134442599955946,18.64923100010492,1.0928454210031089,d9390d75fb26e0d63f607e9e2a12cc9887a134f9a10655950eb6e7344add6a4c,False,285006,3.112242695665255,72,,,not_exposed_by_authoritative_solver,1.0928454210031089,False,0,5,6,1.0928454210031089,b25572ebba4802acfda6f7eb9c90ff6ec932d8f7b801453f0ca905d787711c38,w30,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,data/instances/selected/instance_w30.xlsx,215.2955015693176,1269.308863646738,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,protocol_declared_hash; strict protocol validator currently reports frozen-float drift,ideal_baseline_range_v1,28,0,72,240eb6586ea3587775e895411b9c16c36c7cbaf6010b22b9e3e7a94b4b5971be,False,0,72,,0.07402329985052347,2,cold_process_wall_minus_solver_algorithm_time; includes imports and serialization,2.8152118001598865,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,2.6.0,,success,0,"[12, 8, 8, 6]",480201,experiments/abma_outer5_v1/raw/w30/ABMA1/seed_79,w30__ABMA1__seed_79,0f950019e8c081f4cf0d745eabed2b5c6d0ea477e588356f1e592cb7253f3de2,dynamic_split_parent_aware_v1,0.3213117027771659,79,7f6f09a030543f6e4e14d2bd837791c90896da3bb1e395f409c33d6eaef20df9,25.949654400115833,4,success,generation_limit,34,0.2264566000085324,64.46737412925695,26.023677699966356,0,72,3.3749983003363013,14.126169703222,10.874575924423
,HGA-budget252,0.38302540010772645,,,,False,307,657.919814010049,252,,1.0,HGA final_diversity_rank; ABMA source does not expose an equivalent,3.7420447010908915,False,0,0,7,3.7420447010908915,,w30,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,data/instances/selected/instance_w30.xlsx,1012.5960251906029,1640.7809185867861,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,protocol_declared_hash; strict protocol validator currently reports frozen-float drift,ideal_baseline_range_v1,,0,252,,False,0,0,,0.042459300020709634,1,cold_process_wall_minus_solver_algorithm_time; includes imports and serialization,2.6210912000387907,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,2.6.0,,success,0,"[11, 10, 4, 8]",1171,experiments/abma_outer5_v1/raw/w30/HGA-budget252/seed_79,w30__HGA-budget252__seed_79,0f950019e8c081f4cf0d745eabed2b5c6d0ea477e588356f1e592cb7253f3de2,dynamic_split_parent_aware_v1,0.0015199420639195494,79,db2557a2c96606f0b7f933808f9efb6b26468240073405697aa54304be26f2e7,3.004116600146517,3,success,objective_budget,33,0.09655530005693436,59.38240501939936,3.046575900167227,0,121,,10.0,10.0
,HGA-budget72,0.19872240000404418,,,,False,232,362.3144647937763,72,,1.0,HGA final_diversity_rank; ABMA source does not expose an equivalent,3.7420447010908915,False,0,0,8,3.7420447010908915,,w30,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,data/instances/selected/instance_w30.xlsx,1012.5960251906029,1640.7809185867861,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,protocol_declared_hash; strict protocol validator currently reports frozen-float drift,ideal_baseline_range_v1,,0,72,,False,0,0,,0.07276330003514886,1,cold_process_wall_minus_solver_algorithm_time; includes imports and serialization,2.671404000138864,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,2.6.0,,success,0,"[11, 10, 4, 8]",451,experiments/abma_outer5_v1/raw/w30/HGA-budget72/seed_79,w30__HGA-budget72__seed_79,0f950019e8c081f4cf0d745eabed2b5c6d0ea477e588356f1e592cb7253f3de2,dynamic_split_parent_aware_v1,0.0027600333333895025,79,db2557a2c96606f0b7f933808f9efb6b26468240073405697aa54304be26f2e7,2.870126400142908,3,success,objective_budget,33,0.11253449996002018,59.38240501939936,2.942889700178057,0,121,,10.0,10.0
bcf93e79e94f1789ede9eb78b93403e65472b1e0aafe5eb4c1a28d6e3c53820b,ABMA1,22.142240300076082,17.89802819886245,1.0616110106663088,21fad8c78906154e31f6cb2268394b5776c1635561aaeed40f431ad9f5d32e0e,False,292791,3.2517034872822963,72,,,not_exposed_by_authoritative_solver,1.0616110106663088,False,2,5,9,1.0928454210031089,d80955be14eba2bb25a6baf9783388225a9c96cc2d33e5e10647105b9a5faa51,w30,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,data/instances/selected/instance_w30.xlsx,184.09800959077234,1269.308863646738,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,protocol_declared_hash; strict protocol validator currently reports frozen-float drift,ideal_baseline_range_v1,29,1,72,e61ea11920bbeeea214650f76aabf97a324ac8836126b63625e1986ffe5bb5e3,False,0,72,,0.05385640007443726,26,cold_process_wall_minus_solver_algorithm_time; includes imports and serialization,3.024516799952835,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,2.6.0,,success,0,"[12, 8, 8, 6]",496891,experiments/abma_outer5_v1/raw/w30/ABMA1/seed_80,w30__ABMA1__seed_80,0f950019e8c081f4cf0d745eabed2b5c6d0ea477e588356f1e592cb7253f3de2,dynamic_split_parent_aware_v1,0.3075311152788345,80,7f6f09a030543f6e4e14d2bd837791c90896da3bb1e395f409c33d6eaef20df9,25.166757100028917,4,success,generation_limit,34,8.700307100079954,70.55016860527454,25.220613500103354,0,72,3.2497371991630644,14.12193891660221,10.874575924423
9b75a025a1bcaf9486bbfe22aeaeda33e5ce6dfbe1f78f658e65bf75cfdae9fe,ABMA20,55.95346869993955,41.21231789980084,1.0616110106663088,c4731df3fdfd8c4d231f8b28a3f443852a7ce39b9051ba928cecf31b0e91941b,False,731797,4.503742231806841,252,0.8411868231500879,,not_exposed_by_authoritative_solver,0.8411868231500879,False,20,20,10,1.0928454210031089,9deae6e2900f32a8250c20921710a4368d6779e0ee8672609813282fc24971a3,w30,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,data/instances/selected/instance_w30.xlsx,77.33145640625048,1249.191948324941,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,protocol_declared_hash; strict protocol validator currently reports frozen-float drift,ideal_baseline_range_v1,84,6,252,4d7a0be28bd0ac7a7bb436e71c23f37b0bf0a548d952158584a342a1fbb4f8a5,False,0,252,,0.06637210003100336,242,cold_process_wall_minus_solver_algorithm_time; includes imports and serialization,2.569405000191182,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,2.6.0,0.26203951542033604,success,0,"[13, 8, 8, 6]",1438285,experiments/abma_outer5_v1/raw/w30/ABMA20/seed_80,w30__ABMA20__seed_80,0f950019e8c081f4cf0d745eabed2b5c6d0ea477e588356f1e592cb7253f3de2,dynamic_split_parent_aware_v1,0.2220375742061093,80,7f6f09a030543f6e4e14d2bd837791c90896da3bb1e395f409c33d6eaef20df9,58.52287370013073,5,success,generation_limit,35,53.945368899963796,74.5570994502873,58.589245800161734,0,252,11.698016000213102,13.648323695145148,10.983207267160704
