instance,variant,seed,budget,elapsed_time_s,peak_rss_mb,fitness,makespan,primary_evaluation_count,partition_evaluation_count,partition_cache_hits,partition_cache_misses,unique_boundary_pair_count,duplicate_boundary_pair_visit_count,route_evaluation_count,direction_dp_count,route_cache_hit_count,route_local_cache_hit_count,route_cache_miss_count,route_cache_miss_rate_percent,pair_request_count,pair_cache_hit_count,pair_local_cache_hit_count,pair_cache_miss_count,zero_connected_transition_count,selected_zero_connected_transition_count,seconds_per_primary,route_evaluations_per_primary,direction_dp_per_primary,candidate_sequence_hash,candidate_acceptance_hash,result_file
w30,fixed_presplit_reference,72,500,23.199425800004974,101.1484375,0.9967505663566631,1554.282783296886,500,65,435,65,65,435,378855,229731,0,149120,229735,60.63929471697615,13833185,0,13762457,70728,0,0,0.04639885160000995,757.71,459.462,a3a469618ba99dccc0234765eb0f3b827c47f81a04c7d054344dbe2a2be93ff7,3968f1af3ce614bf9a385e357cf7e1b88cee65ea91a531782fb75584b096360c,D:\pybullet_test\MRTA_GA\fixed_presplit_development\runs\runtime\w30\fixed_presplit_reference\seed_72_budget_500.json
w30,fixed_presplit_exact_fast,72,500,8.690491900080815,186.80859375,0.9967505663566631,1554.282783296886,500,65,435,65,65,435,378855,139881,95102,143871,139882,36.92230536748888,78788,76944,0,1844,62,0,0.01738098380016163,757.71,279.762,a3a469618ba99dccc0234765eb0f3b827c47f81a04c7d054344dbe2a2be93ff7,3968f1af3ce614bf9a385e357cf7e1b88cee65ea91a531782fb75584b096360c,D:\pybullet_test\MRTA_GA\fixed_presplit_development\runs\runtime\w30\fixed_presplit_exact_fast\seed_72_budget_500.json
w30,fixed_presplit_reference,73,500,14.793896599905565,100.9453125,0.9967505663566631,1554.282783296886,500,57,443,57,57,443,311141,182495,0,128642,182499,58.654757810767464,10598975,0,10538247,60728,0,0,0.02958779319981113,622.282,364.99,0ec910739181f98ad57aee804c178eb76252503117a27ba17a8d31cec41d5887,232c7e0d855facea659177fd2b56df97a2de7b13d3ed5a18fbc27028e44a85e3,D:\pybullet_test\MRTA_GA\fixed_presplit_development\runs\runtime\w30\fixed_presplit_reference\seed_73_budget_500.json
w30,fixed_presplit_exact_fast,73,500,7.013763799797744,170.87109375,0.9967505663566631,1554.282783296886,500,57,443,57,57,443,311141,113226,74037,123877,113227,36.390896731706846,67796,65952,0,1844,62,0,0.014027527599595488,622.282,226.452,0ec910739181f98ad57aee804c178eb76252503117a27ba17a8d31cec41d5887,232c7e0d855facea659177fd2b56df97a2de7b13d3ed5a18fbc27028e44a85e3,D:\pybullet_test\MRTA_GA\fixed_presplit_development\runs\runtime\w30\fixed_presplit_exact_fast\seed_73_budget_500.json
w30,fixed_presplit_reference,74,500,20.299096999922767,99.80859375,0.9967505663566627,1554.2827832968858,500,65,435,65,65,435,369625,224661,0,144960,224665,60.781873520459925,13502410,0,13431154,71256,0,0,0.04059819399984554,739.25,449.322,2f2fb5c31a3762d9d4508cc8254fb7ff5e8681fa03c7ae65c25c69fe28eec6ac,61e52611c3f86683d85f549a680065d6befe5d03b3ea00f8f019cb498b688366,D:\pybullet_test\MRTA_GA\fixed_presplit_development\runs\runtime\w30\fixed_presplit_reference\seed_74_budget_500.json
w30,fixed_presplit_exact_fast,74,500,10.414426299976185,188.375,0.9967505663566627,1554.2827832968858,500,65,435,65,65,435,369625,143378,86609,139637,143379,38.790395671288465,79316,77472,0,1844,62,0,0.02082885259995237,739.25,286.756,2f2fb5c31a3762d9d4508cc8254fb7ff5e8681fa03c7ae65c25c69fe28eec6ac,61e52611c3f86683d85f549a680065d6befe5d03b3ea00f8f019cb498b688366,D:\pybullet_test\MRTA_GA\fixed_presplit_development\runs\runtime\w30\fixed_presplit_exact_fast\seed_74_budget_500.json
w45,fixed_presplit_reference,72,500,106.06824739999138,121.3046875,0.9977782579099398,1991.868223994411,500,86,414,86,86,414,1372233,1045610,0,326619,1045614,76.19799261495679,84288370,0,84050170,238200,0,0,0.21213649479998276,2744.466,2091.22,ff0f435e8fb70c21e1ade2a9296bfda98615af65fb305b050efe25529756f705,dd8691e836ffcb497db77a590a740f74f109a49d0b2b8757b7a531a5c5a8f280,D:\pybullet_test\MRTA_GA\fixed_presplit_development\runs\runtime\w45\fixed_presplit_reference\seed_72_budget_500.json
w45,fixed_presplit_exact_fast,72,500,51.02047549979761,732.5859375,0.9977782579099398,1991.868223994411,500,86,414,86,86,414,1372233,815883,235813,320536,815884,59.456666615654925,255648,251072,0,4576,96,0,0.10204095099959523,2744.466,1631.766,ff0f435e8fb70c21e1ade2a9296bfda98615af65fb305b050efe25529756f705,dd8691e836ffcb497db77a590a740f74f109a49d0b2b8757b7a531a5c5a8f280,D:\pybullet_test\MRTA_GA\fixed_presplit_development\runs\runtime\w45\fixed_presplit_exact_fast\seed_72_budget_500.json
w45,fixed_presplit_reference,73,500,113.33976779994555,119.5234375,0.9977782579099398,1991.868223994411,500,86,414,86,86,414,1373565,1063596,0,309965,1063600,77.43353973055517,85477805,0,85244605,233200,0,0,0.2266795355998911,2747.13,2127.192,11bad6392015cc8d83a99e0f585268d3ff44de2b4fa123c2848e5a584385a366,4a0bd09b4f30225565f0aa44dc8836d090c4b0a4d1513cdc5b5673fcc25dd929,D:\pybullet_test\MRTA_GA\fixed_presplit_development\runs\runtime\w45\fixed_presplit_reference\seed_73_budget_500.json
w45,fixed_presplit_exact_fast,73,500,52.9053287000861,722.8203125,0.9977782579099398,1991.868223994411,500,86,414,86,86,414,1373565,826360,242852,304352,826361,60.161768827831224,250352,245776,0,4576,96,0,0.1058106574001722,2747.13,1652.72,11bad6392015cc8d83a99e0f585268d3ff44de2b4fa123c2848e5a584385a366,4a0bd09b4f30225565f0aa44dc8836d090c4b0a4d1513cdc5b5673fcc25dd929,D:\pybullet_test\MRTA_GA\fixed_presplit_development\runs\runtime\w45\fixed_presplit_exact_fast\seed_73_budget_500.json
