instance_id,family,nominal_weld_count,replicate,generation_seed,raw_weld_count,atomic_weld_count,y6_split_weld_count,y6_split_atomic_count,long_weld_split_count,long_weld_split_atomic_count,atomic_count_increase_ratio,upper_event_count,lower_event_count,total_weld_length_m,total_weld_time_s,horizontal_ratio,vertical_ratio,diagonal_ratio,long_weld_ratio,zero_travel_connection_count,max_zero_travel_chain_length,zero_travel_chain_component_count,quadrant_left_lower,quadrant_right_lower,quadrant_left_upper,quadrant_right_upper,upper_lower_workload_ratio,left_right_workload_ratio,source_hash,atomic_hash,normalization_hash
real_w30,real,30,1,,30,31,1,2,0,0,0.03333333333333333,11,5,47.762421772632536,4422.446460428937,0.36666666666666664,0.13333333333333333,0.5,0.0,0,1,0,4,8,9,9,1.0645154103597283,0.5393741374575742,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,d461ffdaad8f8af10d6882c1f5fbb1fc491a080b72738154a694595b80c647e0,a94ff0571cb153c6a2bc11cbce7a60f82cf9585e93c38a7e65659df8d69d04ee
real_w45,real,45,1,,45,48,3,6,0,0,0.06666666666666667,10,8,70.58008987738206,6535.193507165006,0.37777777777777777,0.15555555555555556,0.4666666666666667,0.0,0,1,0,12,11,10,12,0.75990303943196,0.7813935526333782,3b50059c27eb07cf6d40c8c36c0507257890c74fc956278aeedb8318f04e3c38,abedd292f6159ecfb055a97368af7dc78540dd90ac520896c67cfec97a5502aa,472c27abfc140ce091bac644cb34860ba033d750147f3b1e01a3f3edb5a1596f
real_w60,real,60,1,,60,74,3,6,1,12,0.23333333333333334,11,7,101.23742533023626,9373.835678725573,0.4,0.18333333333333332,0.4166666666666667,0.016666666666666666,0,1,0,19,15,13,13,0.5217496057034103,1.124328447254002,e7b7409b555e581a0ceea770b7e2c511bacdced8f3172021729319bd352f76d2,8c68b7ebffee767c6ab1b79abd2d541452127cac4190fb02fef5bc4dccf989c8,abcd3426c80b40ecb57447bfc728f006f8020519da2f9137869574a688860d4b
uniform_n30_r1,uniform,30,1,3001,30,33,3,6,0,0,0.1,9,7,49.86616496884058,4617.237497114867,0.0,0.0,1.0,0.0,0,1,0,6,10,7,7,0.7440219995158297,0.6761581490127396,d4c0992d9f2ae42eb4f7429c5787148c5423dd2dcb548ce1bc872d6a61eb01a8,97a527ba1a6fabf9b98a5a40c1eb4d3e6f0a17e5ba82c8d24bfcce3598ae1747,14b3c5d5310ad1696c363766c42280603621089a316f5a63cb11d22b45a70099
uniform_n30_r2,uniform,30,2,3002,30,32,2,4,0,0,0.06666666666666667,8,9,45.7711622328704,4238.070577117631,0.0,0.0,1.0,0.0,0,1,0,11,6,8,5,0.6574407675099092,1.8766164275231227,41e513cf28ce20fb461a478fe6db88e8ac25fe60e0bae5b23a204c909ad3dffc,d00df66fa5a2d8beb72c1673dfecb23d9b1e12e34e90e9b9d75c861aeeff024b,510958490026427a3d5881119d453304c6e94b0d3a7a02e8c82882e287ee3a25
uniform_n60_r1,uniform,60,1,3003,60,68,8,16,0,0,0.13333333333333333,5,7,113.97591525727778,10553.325486784983,0.0,0.0,1.0,0.0,0,1,0,16,11,18,15,1.4024775410929362,1.5595497571078947,698d9fe783340229d51dd49d4b3578223c7c6c9e3f0a415ff1aea388d0344d4b,e88f368ce594e40ac6b5f52c9e1e7244b9914f072dbac1960dda6cb7130d88a0,1386b2a399d70dd11288e9ef7e2659f486c314370a8a00c75957e681bb01c416
uniform_n60_r2,uniform,60,2,3004,60,62,2,4,0,0,0.03333333333333333,3,9,104.31172601375087,9658.493149421372,0.0,0.0,1.0,0.0,0,1,0,11,19,16,14,1.0825449669739917,0.7921639451103596,981b490aaa0ea29eea923fc8eda2c188daaaadcd93e74741cadc553cb86f3b13,da8126a2088e8dfef7528266238486f790a67560b5321ec26975b7a97f08a1ed,c7a917cadee90f59b19140fa34d68cbeec5bff89b8560084f2a1f4cf05c3b604
uniform_n100_r1,uniform,100,1,3005,100,111,11,22,0,0,0.11,3,5,183.85440072120556,17023.55562233385,0.0,0.0,1.0,0.0,0,1,0,26,27,25,22,0.9896890927976967,0.9366562528856036,40aca3455b8b8c3247a2e59534840a0e7ae7d7eb01cd0a0ebfb0b8d7d412b50d,01a1ff4416e691326ed6937dd6d54acfcd0047ab0771937f8afbae7d946ee733,a79cbfa37b6d047f9132571f7918b0f1e3d09ebaff264a9b6dc0c477bb6c8d40
uniform_n100_r2,uniform,100,2,3006,100,107,7,14,0,0,0.07,5,3,185.65218574520932,17190.017198630496,0.0,0.0,1.0,0.0,0,1,0,24,27,25,24,1.0367697879577922,0.96368700208434,acaa33454fba78f55296ce4b3ace47115c80d3a239d9c9ea2c2d6f27cd978f7f,369b45ee44f4247bce25a129ec5a17a89a53de58aff3ccefe374aed81f14436d,d52c36f90180a8235f735eea8918e32888728273fe16076829fb706d9cb74ffd
clustered_n30_r1,clustered,30,1,3007,30,30,0,0,0,0,0.0,4,5,42.094247622346785,3897.615520587665,0.0,0.0,1.0,0.0,0,1,0,8,7,8,7,1.0726609776516258,1.2717679161360746,adb3712a270cb6a74bf374a7a20a2f484489c1bd32849aacb561c6253f170e33,69e2d0d126dbc4aac26097bc37ae54eaf93fa5ac809c538c0bc43ebd31dc815e,89767a236a7fd2b74077758e5c859390a63740bc07d26d25db223808e2cd4e1b
