instance,field_path,frozen_value,recomputed_value,absolute_difference,relative_difference,frozen_float_hex,recomputed_float_hex,frozen_file_sha256,recomputed_file_sha256,source_instance_sha256,normalization_algorithm,normalization_algorithm_version,objective_weights,baseline_construction_policy
w30,$/baseline/metrics/load_imbalance,153.81691019450614,153.8169101945059,2.2737367544323206e-13,1.4782098740360288e-15,0x1.33a2420d92588p+7,0x1.33a2420d92580p+7,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,1763599d1a8e3ba02777699f9560168d243d5a21dbcb84fbaea2aefe1b9b806c,08cef2ad688e45e447e5d579ee6f423edee0699279cc15d2ba281e94efdb96c3,ideal_baseline_range_v1,1.0.0,"[0.7, 0.2, 0.1]",workload_balanced_cut_cheapest_insertion_2opt_dp_v1
w30,$/baseline/metrics/makespan,1266.0934153406624,1266.0934153406622,2.2737367544323206e-13,1.7958680827832405e-16,0x1.3c85fa845645cp+10,0x1.3c85fa845645bp+10,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,1763599d1a8e3ba02777699f9560168d243d5a21dbcb84fbaea2aefe1b9b806c,08cef2ad688e45e447e5d579ee6f423edee0699279cc15d2ba281e94efdb96c3,ideal_baseline_range_v1,1.0.0,"[0.7, 0.2, 0.1]",workload_balanced_cut_cheapest_insertion_2opt_dp_v1
w30,$/baseline/robot_total_times/0,1266.0934153406624,1266.0934153406622,2.2737367544323206e-13,1.7958680827832405e-16,0x1.3c85fa845645cp+10,0x1.3c85fa845645bp+10,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,1763599d1a8e3ba02777699f9560168d243d5a21dbcb84fbaea2aefe1b9b806c,08cef2ad688e45e447e5d579ee6f423edee0699279cc15d2ba281e94efdb96c3,ideal_baseline_range_v1,1.0.0,"[0.7, 0.2, 0.1]",workload_balanced_cut_cheapest_insertion_2opt_dp_v1
w30,$/baseline/robot_total_times/1,1223.0249564230423,1223.0249564230426,2.2737367544323206e-13,1.8591090414722808e-16,0x1.31c198e2d332bp+10,0x1.31c198e2d332cp+10,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,1763599d1a8e3ba02777699f9560168d243d5a21dbcb84fbaea2aefe1b9b806c,08cef2ad688e45e447e5d579ee6f423edee0699279cc15d2ba281e94efdb96c3,ideal_baseline_range_v1,1.0.0,"[0.7, 0.2, 0.1]",workload_balanced_cut_cheapest_insertion_2opt_dp_v1
w30,$/scale/load_imbalance,153.81691019450614,153.8169101945059,2.2737367544323206e-13,1.4782098740360288e-15,0x1.33a2420d92588p+7,0x1.33a2420d92580p+7,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,1763599d1a8e3ba02777699f9560168d243d5a21dbcb84fbaea2aefe1b9b806c,08cef2ad688e45e447e5d579ee6f423edee0699279cc15d2ba281e94efdb96c3,ideal_baseline_range_v1,1.0.0,"[0.7, 0.2, 0.1]",workload_balanced_cut_cheapest_insertion_2opt_dp_v1
w30,$/scale/makespan,160.48180023342798,160.48180023342775,2.2737367544323206e-13,1.4168190730195377e-15,0x1.40f6ae852b8e8p+7,0x1.40f6ae852b8e0p+7,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,1763599d1a8e3ba02777699f9560168d243d5a21dbcb84fbaea2aefe1b9b806c,08cef2ad688e45e447e5d579ee6f423edee0699279cc15d2ba281e94efdb96c3,ideal_baseline_range_v1,1.0.0,"[0.7, 0.2, 0.1]",workload_balanced_cut_cheapest_insertion_2opt_dp_v1
w45,$/baseline/metrics/idle_distance,86.19236951865285,86.19236951865287,1.4210854715202004e-14,1.6487369815406497e-16,0x1.58c4fc83dd71fp+6,0x1.58c4fc83dd720p+6,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,c47979d7a3c0b280194bb61f3da4c3bafb79dc5ddcf73ae0bee7e0f5582bc37b,e148c1b49112183d56683a9a80083d042398a1225718339221e039e96f396df5,ideal_baseline_range_v1,1.0.0,"[0.7, 0.2, 0.1]",workload_balanced_cut_cheapest_insertion_2opt_dp_v1
w45,$/baseline/robot_total_times/0,1562.0324894350854,1562.0324894350856,2.2737367544323206e-13,1.4556270562942166e-16,0x1.8682144e914a1p+10,0x1.8682144e914a2p+10,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,c47979d7a3c0b280194bb61f3da4c3bafb79dc5ddcf73ae0bee7e0f5582bc37b,e148c1b49112183d56683a9a80083d042398a1225718339221e039e96f396df5,ideal_baseline_range_v1,1.0.0,"[0.7, 0.2, 0.1]",workload_balanced_cut_cheapest_insertion_2opt_dp_v1
w45,$/floors/epsilon_makespan,1.6337983767912516e-06,1.6337983767912511e-06,4.235164736271502e-22,2.5922199436807393e-16,0x1.b691c500ea64ep-20,0x1.b691c500ea64cp-20,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,c47979d7a3c0b280194bb61f3da4c3bafb79dc5ddcf73ae0bee7e0f5582bc37b,e148c1b49112183d56683a9a80083d042398a1225718339221e039e96f396df5,ideal_baseline_range_v1,1.0.0,"[0.7, 0.2, 0.1]",workload_balanced_cut_cheapest_insertion_2opt_dp_v1
w45,$/floors/load_imbalance,81.68991883956258,81.68991883956255,2.842170943040401e-14,3.479218713171168e-16,0x1.46c27a1593432p+6,0x1.46c27a1593430p+6,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,c47979d7a3c0b280194bb61f3da4c3bafb79dc5ddcf73ae0bee7e0f5582bc37b,e148c1b49112183d56683a9a80083d042398a1225718339221e039e96f396df5,ideal_baseline_range_v1,1.0.0,"[0.7, 0.2, 0.1]",workload_balanced_cut_cheapest_insertion_2opt_dp_v1
