instance,variant,seed,budget,primary_evaluation_count,partition_evaluation_count,route_evaluation_count,direction_dp_count,seconds_per_primary,route_evaluations_per_primary,direction_dp_per_primary,route_cache_miss_rate_percent,pair_request_count,pair_cache_hit_count,pair_local_cache_hit_count,pair_cache_miss_count
w30,fixed_presplit_reference,72,500,500,65,378855,229731,0.04639885160000995,757.71,459.462,60.63929471697615,13833185,0,13762457,70728
w30,fixed_presplit_exact_fast,72,500,500,65,378855,139881,0.01738098380016163,757.71,279.762,36.92230536748888,78788,76944,0,1844
w30,fixed_presplit_reference,73,500,500,57,311141,182495,0.02958779319981113,622.282,364.99,58.654757810767464,10598975,0,10538247,60728
w30,fixed_presplit_exact_fast,73,500,500,57,311141,113226,0.014027527599595488,622.282,226.452,36.390896731706846,67796,65952,0,1844
w30,fixed_presplit_reference,74,500,500,65,369625,224661,0.04059819399984554,739.25,449.322,60.781873520459925,13502410,0,13431154,71256
w30,fixed_presplit_exact_fast,74,500,500,65,369625,143378,0.02082885259995237,739.25,286.756,38.790395671288465,79316,77472,0,1844
w45,fixed_presplit_reference,72,500,500,86,1372233,1045610,0.21213649479998276,2744.466,2091.22,76.19799261495679,84288370,0,84050170,238200
w45,fixed_presplit_exact_fast,72,500,500,86,1372233,815883,0.10204095099959523,2744.466,1631.766,59.456666615654925,255648,251072,0,4576
w45,fixed_presplit_reference,73,500,500,86,1373565,1063596,0.2266795355998911,2747.13,2127.192,77.43353973055517,85477805,0,85244605,233200
w45,fixed_presplit_exact_fast,73,500,500,86,1373565,826360,0.1058106574001722,2747.13,1652.72,60.161768827831224,250352,245776,0,4576
w45,fixed_presplit_reference,74,500,500,72,1114578,844751,0.17276734119979664,2229.156,1689.502,75.79146546944224,67653685,0,67460533,193152
w45,fixed_presplit_exact_fast,74,500,500,72,1114578,680153,0.08782598640024662,2229.156,1360.306,61.02345461690434,207616,203040,0,4576
w60,fixed_presplit_reference,72,500,500,59,3746103,3336201,1.1517293814001606,7492.206,6672.402,89.05801575664097,476463060,0,476056276,406784
w60,fixed_presplit_exact_fast,72,500,500,59,3746103,3068022,0.5797699071997776,7492.206,6136.044,81.8990561658342,429048,417560,0,11488
w60,fixed_presplit_reference,73,500,500,55,3468665,3147965,1.0494999693999998,6937.33,6295.93,90.75448335310558,445832235,0,445450627,381608
w60,fixed_presplit_exact_fast,73,500,500,55,3468665,2945616,0.5541299759997055,6937.33,5891.232,84.92076922966041,400424,388936,0,11488
w60,fixed_presplit_reference,74,500,500,46,2782343,2490019,0.812903945799917,5564.686,4980.038,89.49374681698123,342000150,0,341683670,316480
w60,fixed_presplit_exact_fast,74,500,500,46,2782343,2376547,0.422357926200144,5564.686,4753.094,85.41534958127018,333056,321568,0,11488
