order,run_id,instance_hash,solver,seed,budget_A,budget_B,evaluation_budget,timeout_global,timeout_per_instance,protocol_hash,normalization_hash,abma_profile_hash,collision_policy,output_directory,resume_key,command_hash,command_template
1,formal__w30__ga_aco__seed_42,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,ga_aco,42,11000,16000,,21600,21600,19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,,separate_postprocess_after_successful_raw_run,unified_experiments/formal_protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/formal/w30/ga_aco/seed_42,19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202:2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62:ga_aco:42:e22a0e82c722f49c1392694fd229f9f631a651f953139ce80c67715f14fff003,e22a0e82c722f49c1392694fd229f9f631a651f953139ce80c67715f14fff003,"[""D:\\pybullet_test\\.venv\\Scripts\\python.exe"", ""run_unified_experiments.py"", ""--formal"", ""--resume"", ""--instances"", ""w30"", ""--solvers"", ""ga_aco"", ""--seeds"", ""42"", ""--selected-evaluation-budget"", ""<USER_SELECTED_A_OR_B_BUDGET>"", ""--selected-timeout"", ""21600"", ""--output-root"", ""unified_experiments/formal_protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/formal/w30/ga_aco/seed_42""]"
2,formal__w30__ga_aco__seed_43,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,ga_aco,43,11000,16000,,21600,21600,19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,,separate_postprocess_after_successful_raw_run,unified_experiments/formal_protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/formal/w30/ga_aco/seed_43,19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202:2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62:ga_aco:43:3625277602eeb4e6f1a17875a8f574118a156b793b9191197843df49396dacc7,3625277602eeb4e6f1a17875a8f574118a156b793b9191197843df49396dacc7,"[""D:\\pybullet_test\\.venv\\Scripts\\python.exe"", ""run_unified_experiments.py"", ""--formal"", ""--resume"", ""--instances"", ""w30"", ""--solvers"", ""ga_aco"", ""--seeds"", ""43"", ""--selected-evaluation-budget"", ""<USER_SELECTED_A_OR_B_BUDGET>"", ""--selected-timeout"", ""21600"", ""--output-root"", ""unified_experiments/formal_protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/formal/w30/ga_aco/seed_43""]"
3,formal__w30__ga_aco__seed_44,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,ga_aco,44,11000,16000,,21600,21600,19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,,separate_postprocess_after_successful_raw_run,unified_experiments/formal_protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/formal/w30/ga_aco/seed_44,19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202:2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62:ga_aco:44:38109a3d7bba85b33520ad176129fc8f295177257c3328f2dfe6d87770c19713,38109a3d7bba85b33520ad176129fc8f295177257c3328f2dfe6d87770c19713,"[""D:\\pybullet_test\\.venv\\Scripts\\python.exe"", ""run_unified_experiments.py"", ""--formal"", ""--resume"", ""--instances"", ""w30"", ""--solvers"", ""ga_aco"", ""--seeds"", ""44"", ""--selected-evaluation-budget"", ""<USER_SELECTED_A_OR_B_BUDGET>"", ""--selected-timeout"", ""21600"", ""--output-root"", ""unified_experiments/formal_protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/formal/w30/ga_aco/seed_44""]"
4,formal__w30__ga_aco__seed_45,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,ga_aco,45,11000,16000,,21600,21600,19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,,separate_postprocess_after_successful_raw_run,unified_experiments/formal_protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/formal/w30/ga_aco/seed_45,19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202:2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62:ga_aco:45:0285e15125e83b3515e68cd9a6a19cd5ce9ceb88f8e8a6a0865a51dbd47606ee,0285e15125e83b3515e68cd9a6a19cd5ce9ceb88f8e8a6a0865a51dbd47606ee,"[""D:\\pybullet_test\\.venv\\Scripts\\python.exe"", ""run_unified_experiments.py"", ""--formal"", ""--resume"", ""--instances"", ""w30"", ""--solvers"", ""ga_aco"", ""--seeds"", ""45"", ""--selected-evaluation-budget"", ""<USER_SELECTED_A_OR_B_BUDGET>"", ""--selected-timeout"", ""21600"", ""--output-root"", ""unified_experiments/formal_protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/formal/w30/ga_aco/seed_45""]"
5,formal__w30__ga_aco__seed_46,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,ga_aco,46,11000,16000,,21600,21600,19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,,separate_postprocess_after_successful_raw_run,unified_experiments/formal_protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/formal/w30/ga_aco/seed_46,19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202:2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62:ga_aco:46:ddb2f20e568c4893350b3d9113f909c439c7c196655994d50581ea22df286739,ddb2f20e568c4893350b3d9113f909c439c7c196655994d50581ea22df286739,"[""D:\\pybullet_test\\.venv\\Scripts\\python.exe"", ""run_unified_experiments.py"", ""--formal"", ""--resume"", ""--instances"", ""w30"", ""--solvers"", ""ga_aco"", ""--seeds"", ""46"", ""--selected-evaluation-budget"", ""<USER_SELECTED_A_OR_B_BUDGET>"", ""--selected-timeout"", ""21600"", ""--output-root"", ""unified_experiments/formal_protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/formal/w30/ga_aco/seed_46""]"
6,formal__w30__ga_aco__seed_47,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,ga_aco,47,11000,16000,,21600,21600,19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,,separate_postprocess_after_successful_raw_run,unified_experiments/formal_protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/formal/w30/ga_aco/seed_47,19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202:2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62:ga_aco:47:540cd23b61d1621fb6067c197e872fd1b50643d34645c524d30fef473f84dd82,540cd23b61d1621fb6067c197e872fd1b50643d34645c524d30fef473f84dd82,"[""D:\\pybullet_test\\.venv\\Scripts\\python.exe"", ""run_unified_experiments.py"", ""--formal"", ""--resume"", ""--instances"", ""w30"", ""--solvers"", ""ga_aco"", ""--seeds"", ""47"", ""--selected-evaluation-budget"", ""<USER_SELECTED_A_OR_B_BUDGET>"", ""--selected-timeout"", ""21600"", ""--output-root"", ""unified_experiments/formal_protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/formal/w30/ga_aco/seed_47""]"
7,formal__w30__ga_aco__seed_48,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,ga_aco,48,11000,16000,,21600,21600,19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,,separate_postprocess_after_successful_raw_run,unified_experiments/formal_protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/formal/w30/ga_aco/seed_48,19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202:2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62:ga_aco:48:54d16bb3414b9612d6b5700408e28db703eb8710a52be17c3c392dcfdaa93542,54d16bb3414b9612d6b5700408e28db703eb8710a52be17c3c392dcfdaa93542,"[""D:\\pybullet_test\\.venv\\Scripts\\python.exe"", ""run_unified_experiments.py"", ""--formal"", ""--resume"", ""--instances"", ""w30"", ""--solvers"", ""ga_aco"", ""--seeds"", ""48"", ""--selected-evaluation-budget"", ""<USER_SELECTED_A_OR_B_BUDGET>"", ""--selected-timeout"", ""21600"", ""--output-root"", ""unified_experiments/formal_protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/formal/w30/ga_aco/seed_48""]"
8,formal__w30__ga_aco__seed_49,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,ga_aco,49,11000,16000,,21600,21600,19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,,separate_postprocess_after_successful_raw_run,unified_experiments/formal_protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/formal/w30/ga_aco/seed_49,19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202:2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62:ga_aco:49:115af1506fb0784b40f24bdcc6d0eb116baaf4daac39c8695201ef247e4f4e9a,115af1506fb0784b40f24bdcc6d0eb116baaf4daac39c8695201ef247e4f4e9a,"[""D:\\pybullet_test\\.venv\\Scripts\\python.exe"", ""run_unified_experiments.py"", ""--formal"", ""--resume"", ""--instances"", ""w30"", ""--solvers"", ""ga_aco"", ""--seeds"", ""49"", ""--selected-evaluation-budget"", ""<USER_SELECTED_A_OR_B_BUDGET>"", ""--selected-timeout"", ""21600"", ""--output-root"", ""unified_experiments/formal_protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/formal/w30/ga_aco/seed_49""]"
9,formal__w30__ga_aco__seed_50,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,ga_aco,50,11000,16000,,21600,21600,19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,,separate_postprocess_after_successful_raw_run,unified_experiments/formal_protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/formal/w30/ga_aco/seed_50,19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202:2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62:ga_aco:50:474a1b6f0479bb38bd3fc3b2b0051cd002a115b70a614b31d900048a91e75f1e,474a1b6f0479bb38bd3fc3b2b0051cd002a115b70a614b31d900048a91e75f1e,"[""D:\\pybullet_test\\.venv\\Scripts\\python.exe"", ""run_unified_experiments.py"", ""--formal"", ""--resume"", ""--instances"", ""w30"", ""--solvers"", ""ga_aco"", ""--seeds"", ""50"", ""--selected-evaluation-budget"", ""<USER_SELECTED_A_OR_B_BUDGET>"", ""--selected-timeout"", ""21600"", ""--output-root"", ""unified_experiments/formal_protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/formal/w30/ga_aco/seed_50""]"
10,formal__w30__ga_aco__seed_51,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,ga_aco,51,11000,16000,,21600,21600,19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,,separate_postprocess_after_successful_raw_run,unified_experiments/formal_protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/formal/w30/ga_aco/seed_51,19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202:2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62:ga_aco:51:62f3a8f9f7cd388436afb9b302049886adc76b352115c930c35ee45028c0b52e,62f3a8f9f7cd388436afb9b302049886adc76b352115c930c35ee45028c0b52e,"[""D:\\pybullet_test\\.venv\\Scripts\\python.exe"", ""run_unified_experiments.py"", ""--formal"", ""--resume"", ""--instances"", ""w30"", ""--solvers"", ""ga_aco"", ""--seeds"", ""51"", ""--selected-evaluation-budget"", ""<USER_SELECTED_A_OR_B_BUDGET>"", ""--selected-timeout"", ""21600"", ""--output-root"", ""unified_experiments/formal_protocol_19084d42c77dd61803f622f7dd3792c50fea0f387106740c6f6d6bcedc437202/formal/w30/ga_aco/seed_51""]"
