solver,objective_evaluation_count,best_fitness,best_makespan,best_load_imbalance,best_total_idle_distance,elapsed_algorithm_time
GA+ACO,1000,3.127680272332184,1554.282783296878,834.0442798746733,56.18141323922555,266.48515160009265
GA+ACO,2000,1.572153276015821,1367.9317576972637,251.9538186370287,65.42131947507794,556.7105036000721
GA+ACO,5000,0.8350208882180443,1244.6324533626992,97.5435873677211,66.36929033560655,1437.4674209000077
GA+ACO,10000,0.8304822247877307,1244.6100035290444,94.93101794548829,65.68880631978664,2745.9870163000887
Paper-Aligned-HGA-XCut-Control,1000,3.595188151965315,1619.0983594019117,973.787792005442,58.19593840392274,0.6646685999585316
Paper-Aligned-HGA-XCut-Control,2000,1.5711385465492451,1360.1288839599715,269.78154981598937,71.83652016611804,1.4051831000251696
Paper-Aligned-HGA-XCut-Control,5000,1.2852019502428496,1313.8325876636752,199.04730004143266,77.03498603159906,3.6355885999510065
ABMA,1000,0.7636492770164982,1244.327294965156,0.21980466613604221,103.20780121984707,332.66076620004606
ABMA,2000,0.7636335952485163,1244.3268486370553,0.1736968235884433,103.23793253375469,410.9360731000779
ABMA,5000,0.7636335952485163,1244.3268486370553,0.1736968235884433,103.23793253375469,411.0011870000744
