order,run_id,instance_hash,solver,seed,budget_A,budget_B,evaluation_budget,timeout_global,timeout_per_instance,protocol_hash,normalization_hash,abma_profile_hash,collision_policy,output_directory,resume_key,command_hash,command_template
1,formal__w30__ga_aco__seed_42,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,ga_aco,42,11000,16000,,21600,21600,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,,separate_postprocess_after_successful_raw_run,unified_experiments/formal_protocol_5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc/formal/w30/ga_aco/seed_42,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc:2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62:ga_aco:42:7d2760a8bbcfbc8180624f9ebb0e718791767efaea8c0b55f6505f24670a1e62,7d2760a8bbcfbc8180624f9ebb0e718791767efaea8c0b55f6505f24670a1e62,"[""D:\\pybullet_test\\.venv\\Scripts\\python.exe"", ""run_unified_experiments.py"", ""--formal"", ""--resume"", ""--instances"", ""w30"", ""--solvers"", ""ga_aco"", ""--seeds"", ""42"", ""--selected-evaluation-budget"", ""<USER_SELECTED_A_OR_B_BUDGET>"", ""--selected-timeout"", ""21600"", ""--output-root"", ""unified_experiments/formal_protocol_5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc/formal/w30/ga_aco/seed_42""]"
2,formal__w30__ga_aco__seed_43,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,ga_aco,43,11000,16000,,21600,21600,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,,separate_postprocess_after_successful_raw_run,unified_experiments/formal_protocol_5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc/formal/w30/ga_aco/seed_43,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc:2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62:ga_aco:43:3420c297bce704bb76f531d4b1e28cf4c1a6cf1ef2726db921ac4627c7c1b872,3420c297bce704bb76f531d4b1e28cf4c1a6cf1ef2726db921ac4627c7c1b872,"[""D:\\pybullet_test\\.venv\\Scripts\\python.exe"", ""run_unified_experiments.py"", ""--formal"", ""--resume"", ""--instances"", ""w30"", ""--solvers"", ""ga_aco"", ""--seeds"", ""43"", ""--selected-evaluation-budget"", ""<USER_SELECTED_A_OR_B_BUDGET>"", ""--selected-timeout"", ""21600"", ""--output-root"", ""unified_experiments/formal_protocol_5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc/formal/w30/ga_aco/seed_43""]"
3,formal__w30__ga_aco__seed_44,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,ga_aco,44,11000,16000,,21600,21600,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,,separate_postprocess_after_successful_raw_run,unified_experiments/formal_protocol_5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc/formal/w30/ga_aco/seed_44,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc:2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62:ga_aco:44:17d27169368fa5d01209eb10a04b620a587e2ce7d396cbdacafca542eda07416,17d27169368fa5d01209eb10a04b620a587e2ce7d396cbdacafca542eda07416,"[""D:\\pybullet_test\\.venv\\Scripts\\python.exe"", ""run_unified_experiments.py"", ""--formal"", ""--resume"", ""--instances"", ""w30"", ""--solvers"", ""ga_aco"", ""--seeds"", ""44"", ""--selected-evaluation-budget"", ""<USER_SELECTED_A_OR_B_BUDGET>"", ""--selected-timeout"", ""21600"", ""--output-root"", ""unified_experiments/formal_protocol_5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc/formal/w30/ga_aco/seed_44""]"
4,formal__w30__ga_aco__seed_45,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,ga_aco,45,11000,16000,,21600,21600,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,,separate_postprocess_after_successful_raw_run,unified_experiments/formal_protocol_5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc/formal/w30/ga_aco/seed_45,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc:2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62:ga_aco:45:8b91d6eb7c5389bbcf739e6fb50e834f734ec6aaf220b6ede7db71aef88f6b28,8b91d6eb7c5389bbcf739e6fb50e834f734ec6aaf220b6ede7db71aef88f6b28,"[""D:\\pybullet_test\\.venv\\Scripts\\python.exe"", ""run_unified_experiments.py"", ""--formal"", ""--resume"", ""--instances"", ""w30"", ""--solvers"", ""ga_aco"", ""--seeds"", ""45"", ""--selected-evaluation-budget"", ""<USER_SELECTED_A_OR_B_BUDGET>"", ""--selected-timeout"", ""21600"", ""--output-root"", ""unified_experiments/formal_protocol_5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc/formal/w30/ga_aco/seed_45""]"
5,formal__w30__ga_aco__seed_46,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,ga_aco,46,11000,16000,,21600,21600,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,,separate_postprocess_after_successful_raw_run,unified_experiments/formal_protocol_5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc/formal/w30/ga_aco/seed_46,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc:2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62:ga_aco:46:49578a807bb488445de70d84efe787a8646c8a0a5398d381c88b9f917846664f,49578a807bb488445de70d84efe787a8646c8a0a5398d381c88b9f917846664f,"[""D:\\pybullet_test\\.venv\\Scripts\\python.exe"", ""run_unified_experiments.py"", ""--formal"", ""--resume"", ""--instances"", ""w30"", ""--solvers"", ""ga_aco"", ""--seeds"", ""46"", ""--selected-evaluation-budget"", ""<USER_SELECTED_A_OR_B_BUDGET>"", ""--selected-timeout"", ""21600"", ""--output-root"", ""unified_experiments/formal_protocol_5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc/formal/w30/ga_aco/seed_46""]"
6,formal__w30__ga_aco__seed_47,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,ga_aco,47,11000,16000,,21600,21600,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,,separate_postprocess_after_successful_raw_run,unified_experiments/formal_protocol_5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc/formal/w30/ga_aco/seed_47,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc:2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62:ga_aco:47:197307489e4f033356a2ed0b6e1b1b3128167ce2654791c7dd59f4c47e83c735,197307489e4f033356a2ed0b6e1b1b3128167ce2654791c7dd59f4c47e83c735,"[""D:\\pybullet_test\\.venv\\Scripts\\python.exe"", ""run_unified_experiments.py"", ""--formal"", ""--resume"", ""--instances"", ""w30"", ""--solvers"", ""ga_aco"", ""--seeds"", ""47"", ""--selected-evaluation-budget"", ""<USER_SELECTED_A_OR_B_BUDGET>"", ""--selected-timeout"", ""21600"", ""--output-root"", ""unified_experiments/formal_protocol_5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc/formal/w30/ga_aco/seed_47""]"
7,formal__w30__ga_aco__seed_48,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,ga_aco,48,11000,16000,,21600,21600,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,,separate_postprocess_after_successful_raw_run,unified_experiments/formal_protocol_5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc/formal/w30/ga_aco/seed_48,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc:2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62:ga_aco:48:13b5cddfa3cd763be57fb7ffbba27b85d81da4bac781400e8e30527e5b78d176,13b5cddfa3cd763be57fb7ffbba27b85d81da4bac781400e8e30527e5b78d176,"[""D:\\pybullet_test\\.venv\\Scripts\\python.exe"", ""run_unified_experiments.py"", ""--formal"", ""--resume"", ""--instances"", ""w30"", ""--solvers"", ""ga_aco"", ""--seeds"", ""48"", ""--selected-evaluation-budget"", ""<USER_SELECTED_A_OR_B_BUDGET>"", ""--selected-timeout"", ""21600"", ""--output-root"", ""unified_experiments/formal_protocol_5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc/formal/w30/ga_aco/seed_48""]"
8,formal__w30__ga_aco__seed_49,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,ga_aco,49,11000,16000,,21600,21600,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,,separate_postprocess_after_successful_raw_run,unified_experiments/formal_protocol_5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc/formal/w30/ga_aco/seed_49,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc:2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62:ga_aco:49:75e5bc8d12bf3d75d106099434f8c22b1891692f466486c526f6e9971bb7b748,75e5bc8d12bf3d75d106099434f8c22b1891692f466486c526f6e9971bb7b748,"[""D:\\pybullet_test\\.venv\\Scripts\\python.exe"", ""run_unified_experiments.py"", ""--formal"", ""--resume"", ""--instances"", ""w30"", ""--solvers"", ""ga_aco"", ""--seeds"", ""49"", ""--selected-evaluation-budget"", ""<USER_SELECTED_A_OR_B_BUDGET>"", ""--selected-timeout"", ""21600"", ""--output-root"", ""unified_experiments/formal_protocol_5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc/formal/w30/ga_aco/seed_49""]"
9,formal__w30__ga_aco__seed_50,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,ga_aco,50,11000,16000,,21600,21600,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,,separate_postprocess_after_successful_raw_run,unified_experiments/formal_protocol_5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc/formal/w30/ga_aco/seed_50,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc:2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62:ga_aco:50:6c4c0cff8e3d7850af9f4fd4e7d8eed61805fa9b32a7a298614c7e52c919a3ba,6c4c0cff8e3d7850af9f4fd4e7d8eed61805fa9b32a7a298614c7e52c919a3ba,"[""D:\\pybullet_test\\.venv\\Scripts\\python.exe"", ""run_unified_experiments.py"", ""--formal"", ""--resume"", ""--instances"", ""w30"", ""--solvers"", ""ga_aco"", ""--seeds"", ""50"", ""--selected-evaluation-budget"", ""<USER_SELECTED_A_OR_B_BUDGET>"", ""--selected-timeout"", ""21600"", ""--output-root"", ""unified_experiments/formal_protocol_5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc/formal/w30/ga_aco/seed_50""]"
10,formal__w30__ga_aco__seed_51,2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62,ga_aco,51,11000,16000,,21600,21600,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc,e9e221a5db62c86aed76061099db5eaeb9b8c63708fbd05e33328b1811a38df4,,separate_postprocess_after_successful_raw_run,unified_experiments/formal_protocol_5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc/formal/w30/ga_aco/seed_51,5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc:2fab0e3e566477294710c7f5296eae3f19fffdaf771928347daa371758bb2a62:ga_aco:51:b2ee3ece084d1f69984346035fc5472b63afddfb40f4e6aed3aff7f36d54ee1a,b2ee3ece084d1f69984346035fc5472b63afddfb40f4e6aed3aff7f36d54ee1a,"[""D:\\pybullet_test\\.venv\\Scripts\\python.exe"", ""run_unified_experiments.py"", ""--formal"", ""--resume"", ""--instances"", ""w30"", ""--solvers"", ""ga_aco"", ""--seeds"", ""51"", ""--selected-evaluation-budget"", ""<USER_SELECTED_A_OR_B_BUDGET>"", ""--selected-timeout"", ""21600"", ""--output-root"", ""unified_experiments/formal_protocol_5fb8fec80189731e702186e13567ea8cb1d16c707b06446f9ab1e705c76291dc/formal/w30/ga_aco/seed_51""]"
